Time,Task,Count,locate,date
8:30 8:45,処方修正,0,AM,2024-11-24
8:45 9:00,処方修正,0,AM,2024-11-24
9:00 9:15,処方修正,0,AM,2024-11-24
9:15 9:30,処方修正,0,AM,2024-11-24
9:30 9:45,,0,AM,2024-11-24
9:45 10:00,,4,AM,2024-11-24
10:00 10:15,,0,AM,2024-11-24
10:15 10:30,,0,AM,2024-11-24
10:30 10:45,,0,AM,2024-11-24
10:45 11:00,,0,AM,2024-11-24
11:00 11:15,,0,AM,2024-11-24
11:15 11:30,,0,AM,2024-11-24
11:30 11:45,,0,AM,2024-11-24
11:45 12:00,,0,AM,2024-11-24
12:00 12:15,,0,AM,2024-11-24
12:15 12:30,,0,AM,2024-11-24
12:30 12:45,,0,PM,2024-11-24
12:45 13:00,,0,PM,2024-11-24
13:00 13:15,,0,PM,2024-11-24
13:15 13:30,,0,PM,2024-11-24
13:30 13:45,,0,PM,2024-11-24
13:45 14:00,,0,PM,2024-11-24
14:00 14:15,,0,PM,2024-11-24
14:15 14:30,,0,PM,2024-11-24
14:30 14:45,,0,PM,2024-11-24
14:45 15:00,,0,PM,2024-11-24
15:00 15:15,,0,PM,2024-11-24
15:15 15:30,,0,PM,2024-11-24
15:30 15:45,,0,PM,2024-11-24
15:45 16:00,,0,PM,2024-11-24
16:00 16:15,,0,PM,2024-11-24
16:15 16:30,,0,PM,2024-11-24
16:30 16:45,,0,PM,2024-11-24
16:45 17:00,,0,PM,2024-11-24
