Time,Task,Count,locate,date,PhName,Comment
8:30 8:45,,0,"['ICU', '4B']",2025-1-24,name19,
8:45 9:00,,0,"['ICU', '4B']",2025-1-24,name19,
9:00 9:15,指導記録作成,5,"['ICU', '4B']",2025-1-24,name19,
9:15 9:30,will_accept,0,"['ICU', '4B']",2025-1-24,name19,
9:30 9:45,will_accept,0,"['ICU', '4B']",2025-1-24,name19,
9:45 10:00,will_accept,0,"['ICU', '4B']",2025-1-24,name19,
10:00 10:15,will_accept,0,"['ICU', '4B']",2025-1-24,name19,
10:15 10:30,薬剤セット数,0,"['ICU', '4B']",2025-1-24,name19,
10:30 10:45,will_accept,0,"['ICU', '4B']",2025-1-24,name19,
10:45 11:00,will_accept,0,"['ICU', '4B']",2025-1-24,name19,
11:00 11:15,will_accept,0,"['ICU', '4B']",2025-1-24,name19,
11:15 11:30,,0,"['ICU', '4B']",2025-1-24,name19,
11:30 11:45,,0,"['ICU', '4B']",2025-1-24,name19,
11:45 12:00,,0,"['ICU', '4B']",2025-1-24,name19,
12:00 12:15,,0,"['ICU', '4B']",2025-1-24,name19,
12:15 12:30,,0,"['ICU', '4B']",2025-1-24,name19,
12:30 12:45,,0,"['ICU', '4B']",2025-1-24,name19,
12:45 13:00,薬剤服用歴等について保険薬局へ照会,1,"['ICU', '4B']",2025-1-24,name19,
13:00 13:15,will_accept,0,"['ICU', '4B']",2025-1-24,name19,
13:15 13:30,will_accept,0,"['ICU', '4B']",2025-1-24,name19,
13:30 13:45,will_accept,0,"['ICU', '4B']",2025-1-24,name19,
13:45 14:00,will_accept,0,"['ICU', '4B']",2025-1-24,name19,
14:00 14:15,,0,"['ICU', '4B']",2025-1-24,name19,
14:15 14:30,,0,"['ICU', '4B']",2025-1-24,name19,
14:30 14:45,,0,"['ICU', '4B']",2025-1-24,name19,
14:45 15:00,,0,"['ICU', '4B']",2025-1-24,name19,
15:00 15:15,,0,"['ICU', '4B']",2025-1-24,name19,
15:15 15:30,,0,"['ICU', '4B']",2025-1-24,name19,
15:30 15:45,,0,"['ICU', '4B']",2025-1-24,name19,
15:45 16:00,,0,"['ICU', '4B']",2025-1-24,name19,
16:00 16:15,,0,"['ICU', '4B']",2025-1-24,name19,
16:15 16:30,,0,"['ICU', '4B']",2025-1-24,name19,
16:30 16:45,,0,"['ICU', '4B']",2025-1-24,name19,
16:45 17:00,,0,"['ICU', '4B']",2025-1-24,name19,
17:00 17:15,,0,"['ICU', '4B']",2025-1-24,name19,
17:15 17:30,,0,"['ICU', '4B']",2025-1-24,name19,
17:30 17:45,,0,"['ICU', '4B']",2025-1-24,name19,
17:45 18:00,,0,"['ICU', '4B']",2025-1-24,name19,
18:00 18:15,,0,"['ICU', '4B']",2025-1-24,name19,
18:15 18:30,,0,"['ICU', '4B']",2025-1-24,name19,
18:30 18:45,,0,"['ICU', '4B']",2025-1-24,name19,
18:45 19:00,,0,"['ICU', '4B']",2025-1-24,name19,
19:00 19:15,,0,"['ICU', '4B']",2025-1-24,name19,
19:15 19:30,,0,"['ICU', '4B']",2025-1-24,name19,
19:30 19:45,,0,"['ICU', '4B']",2025-1-24,name19,
19:45 20:00,,0,"['ICU', '4B']",2025-1-24,name19,
20:00 20:15,,0,"['ICU', '4B']",2025-1-24,name19,
20:15 20:30,,0,"['ICU', '4B']",2025-1-24,name19,
20:30 20:45,,0,"['ICU', '4B']",2025-1-24,name19,
20:45 21:00,,0,"['ICU', '4B']",2025-1-24,name19,
21:00 21:15,,0,"['ICU', '4B']",2025-1-24,name19,
21:15 21:30,,0,"['ICU', '4B']",2025-1-24,name19,
21:30 21:45,,0,"['ICU', '4B']",2025-1-24,name19,
21:45 22:00,,0,"['ICU', '4B']",2025-1-24,name19,
22:00 22:15,,0,"['ICU', '4B']",2025-1-24,name19,
22:15 22:30,,0,"['ICU', '4B']",2025-1-24,name19,
